iteration,successor,predecessor,p_binary,s_binary,s_mod_k,alpha_i
1,1,5,101,1,1,4
1,1,1,1,1,1,2
2,5,85,1010101,101,2,8
2,5,13,1101,101,2,3
3,85,341,101010101,1010101,1,10
3,85,113,1110001,1010101,1,2
3,13,53,110101,1101,1,5
3,13,17,10001,1101,1,2
4,341,5461,1010101010101,101010101,2,14
4,341,227,11100011,101010101,2,1
4,113,1813,11100010101,1110001,2,6
4,113,301,100101101,1110001,2,3
4,53,853,1101010101,110101,2,9
4,53,35,100011,110101,2,1
4,17,277,100010101,10001,2,6
4,17,11,1011,10001,2,1
5,5461,21845,101010101010101,1010101010101,1,16
5,5461,29125,111000111000101,1010101010101,1,4
5,227,3637,111000110101,11100011,2,5
5,227,151,10010111,11100011,2,1
5,1813,7253,1110001010101,11100010101,1,8
5,1813,2417,100101110001,11100010101,1,2
5,301,1205,10010110101,100101101,1,5
5,301,401,110010001,100101101,1,2
5,853,3413,110101010101,1101010101,1,11
5,853,4549,1000111000101,1101010101,1,4
5,35,565,1000110101,100011,2,5
5,35,23,10111,100011,2,1
5,277,1109,10001010101,100010101,1,8
5,277,1477,10111000101,100010101,1,4
5,11,181,10110101,1011,2,5
5,11,7,111,1011,2,1
6,21845,349525,1010101010101010101,101010101010101,2,20
6,21845,14563,11100011100011,101010101010101,2,1
6,29125,116501,11100011100010101,111000111000101,1,6
6,29125,38833,1001011110110001,111000111000101,1,2
6,3637,14549,11100011010101,111000110101,1,7
6,3637,4849,1001011110001,111000110101,1,2
6,151,605,1001011101,10010111,1,3
6,151,805,1100100101,10010111,1,4
6,7253,116053,11100010101010101,1110001010101,2,12
6,7253,4835,1001011100011,1110001010101,2,1
6,2417,38677,1001011100010101,100101110001,2,6
6,2417,6445,1100100101101,100101110001,2,3
6,1205,19285,100101101010101,10010110101,2,9
6,1205,803,1100100011,10010110101,2,1
6,401,6421,1100100010101,110010001,2,6
6,401,1069,10000101101,110010001,2,3
6,3413,54613,1101010101010101,110101010101,2,15
6,3413,2275,100011100011,110101010101,2,1
6,4549,18197,100011100010101,1000111000101,1,6
6,4549,6065,1011110110001,1000111000101,1,2
6,565,2261,100011010101,1000110101,1,7
6,565,3013,101111000101,1000110101,1,4
6,23,373,101110101,10111,2,5
6,23,61,111101,10111,2,3
6,1109,17749,100010101010101,10001010101,2,12
6,1109,739,1011100011,10001010101,2,1
6,1477,5909,1011100010101,10111000101,1,6
6,1477,1969,11110110001,10111000101,1,2
6,181,725,1011010101,10110101,1,7
6,181,241,11110001,10110101,1,2
6,7,29,11101,111,1,3
6,7,37,100101,111,1,4
