iteration,predecessor,successor,p_binary,s_mod_k,alpha_i
1,1,1,1,1,2
1,1,5,1,2,2
2,5,13,101,1,4
2,5,85,101,1,4
3,13,17,1101,2,3
3,13,53,1101,2,3
3,85,113,1010101,2,8
3,85,341,1010101,2,8
4,17,11,10001,2,2
4,17,277,10001,1,2
4,53,35,110101,2,5
4,53,853,110101,1,5
4,113,301,1110001,1,2
4,113,1813,1110001,1,2
4,341,227,101010101,2,10
4,341,5461,101010101,1,10
5,11,7,1011,1,1
5,11,181,1011,1,1
5,277,1477,100010101,1,6
5,277,1109,100010101,2,6
5,35,23,100011,2,1
5,35,565,100011,1,1
5,853,4549,1101010101,1,9
5,853,3413,1101010101,2,9
5,301,401,100101101,2,3
5,301,1205,100101101,2,3
5,1813,2417,11100010101,2,6
5,1813,7253,11100010101,2,6
5,227,151,11100011,1,1
5,227,3637,11100011,1,1
5,5461,29125,1010101010101,1,14
5,5461,21845,1010101010101,2,14
