iteration,successor,predecessor,p_binary,p_mod_k
1,13,5,101,0
1,13,83,1010011,3
1,13,1331,10100110011,1
2,83,33,100001,3
2,83,531,1000010011,1
2,83,8499,10000100110011,4
2,1331,4259,1000010100011,4
2,1331,68147,10000101000110011,2
2,1331,1090355,100001010001100110011,0
3,33,13,1101,3
3,33,211,11010011,1
3,33,3379,110100110011,4
3,531,1699,11010100011,4
3,531,27187,110101000110011,2
3,531,434995,1101010001100110011,0
3,8499,6799,1101010001111,4
3,8499,108787,11010100011110011,2
3,8499,1740595,110101000111100110011,0
3,4259,3407,110101001111,2
3,4259,54515,1101010011110011,0
3,4259,872243,11010100111100110011,3
3,68147,109035,11010100111101011,0
3,68147,1744563,110101001111010110011,3
3,68147,27913011,1101010011110101100110011,1
