iteration,successor,predecessor,p_binary,s_mod_k,alpha_i
1,1,1,1,1,3
1,1,9,1001,1,6
1,1,73,1001001,1,9
1,1,585,1001001001,1,12
1,1,4681,1001001001001,1,15
2,9,5,101,2,2
2,9,41,101001,2,5
2,9,329,101001001,2,8
2,9,2633,101001001001,2,11
2,9,21065,101001001001001,2,14
2,585,167,10100111,4,1
2,585,1337,10100111001,4,4
2,585,10697,10100111001001,4,7
2,585,85577,10100111001001001,4,10
2,585,684617,10100111001001001001,4,13
3,2633,3009,101111000001,1,3
3,2633,24073,101111000001001,1,6
3,2633,192585,101111000001001001,1,9
3,2633,1540681,101111000001001001001,1,12
3,2633,12325449,101111000001001001001001,1,15
3,21065,12037,10111100000101,2,2
3,21065,96297,10111100000101001,2,5
3,21065,770377,10111100000101001001,2,8
3,21065,6163017,10111100000101001001001,2,11
3,21065,49304137,10111100000101001001001001,2,14
3,10697,12225,10111111000001,1,3
3,10697,97801,10111111000001001,1,6
3,10697,782409,10111111000001001001,1,9
3,10697,6259273,10111111000001001001001,1,12
3,10697,50074185,10111111000001001001001001,1,15
3,85577,48901,1011111100000101,2,2
3,85577,391209,1011111100000101001,2,5
3,85577,3129673,1011111100000101001001,2,8
3,85577,25037385,1011111100000101001001001,2,11
3,85577,200299081,1011111100000101001001001001,2,14
